issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
AXP,C,19,True,19.25278792716481,15.4943,-0.17320731158470087,0.39534625850286176,-0.6654115072350035
C,PEP,19,True,17.5074286651138,15.4943,-0.17331563601461253,0.3954872877288536,-0.6760291027175502
C,T,19,True,23.398390087593686,15.4943,-0.1734784377324019,0.3956992651743973,-0.6736031804593227
AXP,UNH,19,True,31.834731246184617,15.4943,-0.1743846121144917,0.3968796757724465,-0.6867679174753207
C,VZ,19,True,23.07793019912506,15.4943,-0.17591024577325642,0.3988690338446188,-0.6799387520071742
CL,SBUX,18,True,16.711736808371867,15.4943,0.17725148336795082,0.40062009679424304,0.7067758780871696
C,HD,19,True,18.674156513147484,15.4943,-0.17859923405211042,0.40238174557791623,-0.686200074608881
BA,T,19,True,16.777889926625054,15.4943,-0.1804339318536754,0.4047833373328584,-0.7336824363835855
MSFT,UPS,20,True,33.075842705441545,15.4943,-0.18161368036789172,0.40632977027552436,-0.8519418189642605
C,GS,19,True,24.348210362369965,15.4943,-0.18176961442188644,0.40653429998859697,-0.6980669427499635
C,MCD,19,True,22.567862845581164,15.4943,-0.18282511521811873,0.40791954192761865,-0.7108634752328836
C,UPS,19,True,21.342779190528773,15.4943,-0.18321153872866547,0.4084270379666297,-0.717093152205955
KO,WFC,19,True,15.936278954607845,15.4943,-0.18443443205514157,0.4100343478816531,-0.7526960904549497
HD,UNH,19,True,41.421813491370685,15.4943,-0.18566581011043876,0.41165478275655654,-0.7431688473489987
ABBV,GS,19,True,17.158299129816058,15.4943,-0.18624652733325964,0.41241967728139894,-0.6364706826863693
INTC,WFC,19,True,21.646945532741466,15.4943,-0.1865460574591402,0.4128143817733437,-0.7665798528459982
JNJ,KO,20,True,23.796690350950815,15.4943,-0.18769022532559448,0.41432322403587474,-0.7902039507249515
KMI,WFC,19,True,24.578064027036504,15.4943,0.1884007838509149,0.4152611586062188,0.7707997835511079
C,SBUX,19,True,21.856771334354555,15.4943,-0.19008700453416955,0.41748978419361177,-0.7364496499260291
HD,TMO,19,True,27.891485838055626,15.4943,-0.19059710898411833,0.4181647665856499,-0.7912838103052243
BA,UNH,19,True,25.685483108791942,15.4943,-0.19188161993556485,0.41986612166646287,-0.7625822999855134
AEP,KO,18,True,22.368368970497773,15.4943,-0.1929530928427124,0.4212871464558055,-0.7897789700100222
C,PG,19,True,20.316371188599803,15.4943,-0.19437056483653203,0.4231696667831257,-0.7525778132316971
AEP,AXP,18,True,17.51541153673256,15.4943,-0.19752395233090891,0.4273686022817042,-0.8287682026322168
