issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
AXP,TAP,18,True,17.051623469076187,15.4943,-0.3497115164667329,0.6597338368421926,-1.3139608375737217
AXP,TGT,19,True,17.15950119158083,15.4943,0.04282893460507564,0.22000891300173164,0.17648542658469482
AXP,TMO,19,True,22.66782585061536,15.4943,0.04825078990310766,0.22866008967068105,0.1991013945364091
AXP,UNH,19,True,31.834731246184617,15.4943,-0.1743846121144917,0.3968796757724465,-0.6867679174753207
AXP,UPS,19,True,18.789830106342272,15.4943,-0.37355471106012694,0.7039236869221973,-1.6487479550851245
AXP,VZ,19,True,18.158881077693913,15.4943,-0.008726384319948738,0.1461902754653958,-0.03624550196658941
AXP,WFC,19,True,20.596447239058996,15.4943,-0.24945378245937955,0.49921235526650354,-1.0482019856000273
BA,C,19,True,35.18712829369196,15.4943,-0.3550663308373793,0.6694159438497117,-1.4086548547127042
BA,CAT,19,False,14.575267212169454,15.4943,,,
BA,CL,18,False,10.858912254693387,15.4943,,,
BA,CSCO,19,False,14.720380678655197,15.4943,,,
BA,GS,19,False,13.585882355048494,15.4943,,,
BA,HD,19,False,12.667310639161164,15.4943,,,
BA,HON,19,True,22.462137615096278,15.4943,-0.22610032215677833,0.4662080630691383,-0.9559046331039976
BA,HUM,18,True,19.282152938254768,15.4943,-0.45684927522184493,0.8847914562926715,-2.0142194602945684
BA,INTC,19,True,19.323262199163306,15.4943,-0.15059144891595544,0.36612759651056515,-0.6255502641205869
BA,JNJ,19,True,31.44226051423697,15.4943,-0.32123326087908,0.6103862782514357,-1.3546879086856456
BA,KMI,19,True,20.213280068309928,15.4943,0.05555499018584534,0.2398116222156692,0.22265724292174122
BA,KO,19,False,14.44696936892032,15.4943,,,
BA,MCD,19,True,15.85966225127493,15.4943,-0.22773125125542126,0.46847276424922885,-0.9364172102842755
BA,MSFT,19,True,32.23229622375378,15.4943,-0.24792845746528502,0.4970168501826751,-1.1828684982795046
BA,NSC,18,True,17.596088960706354,15.4943,-0.45537564196827107,0.8811574403533342,-1.9934493817515508
BA,ORCL,19,True,16.36569541258412,15.4943,-0.22978835644135476,0.47133740723708745,-0.9410576625081581
BA,PEP,19,False,14.401177862397235,15.4943,,,
BA,PG,19,False,14.875178671013886,15.4943,,,
BA,SBUX,19,False,14.968572338329283,15.4943,,,
BA,T,19,True,16.777889926625054,15.4943,-0.1804339318536754,0.4047833373328584,-0.7336824363835855
BA,TAP,18,True,25.38246101237399,15.4943,-0.20808959275235955,0.44155504911744703,-0.8165745932148579
BA,TGT,19,False,13.687513872137636,15.4943,,,
BA,TMO,19,False,14.469813022335368,15.4943,,,
BA,UNH,19,True,25.685483108791942,15.4943,-0.19188161993556485,0.41986612166646287,-0.7625822999855134
BA,UPS,19,True,17.648847316734447,15.4943,-0.25425101948098394,0.5061562427411836,-1.0511669456361574
BA,VZ,19,False,15.206603516582346,15.4943,,,
